occ1990,naics2,sh_change,sh_top12015,sh_top11980,top11980,top12015,sh_change_inc,over_inc,sh_change_pop,agg_inc1970,agg_inc1980,agg_inc1990,agg_inc2000,agg_inc2015,change,change_inc,change_pop,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,inctot1970,inctot1980,inctot1990,inctot2000,inctot2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,pop1970,pop1980,pop1990,pop2000,pop2015,sh_top11970,sh_top11990,sh_top12000,top11970,top11990,top12000,us_change,us_change_inc,us_change_pop,us_inc1970,us_inc1980,us_inc1990,us_inc2000,us_inc2015,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,us_pop1970,us_pop1980,us_pop1990,us_pop2000,us_pop2015,xsh_top1,xsh_top1_90
"Industrial machinery repairers","11",0,0,0,0,0,.0000167,8.53e-06,8.16e-06,,3.51e+07,4.68e+07,9.71e+07,1.35e+08,0,9.99e+07,398,,-.0463516,-.1470003,-.1405772,.2567286,,12279.65035,26381.13311,28992.82209,41454.60835,,0,47,5,0,,2860,1773,3350,3258,,.0000423,3.88e-06,,.0265087,.0014925,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000423
"Social scientists, n.e.c.","52",0,0,0,0,0,5.01e-06,1.20e-06,3.81e-06,2520000,1940300,7352398,8434110,3.20e+07,0,3.00e+07,186,.1851955,-.2002348,-.4152161,.1430379,.4849179,12600,12126.875,32677.32444,58570.20833,92379.76879,0,0,5,0,0,200,160,225,144,346,0,4.50e-06,0,0,.0222222,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-4.50e-06
"Photographers","72",0,0,0,0,0,4.23e-07,-2.20e-06,2.62e-06,1305000,2103500,8573079,4373700,4640000,0,2536500,128,1.111675,-.3389564,-.4157869,-.2112401,-.3064666,13050,6573.4375,14008.29902,29353.69128,10357.14286,0,0,0,0,0,100,320,612,149,448,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Timber, logging, and forestry workers","56",0,0,0,0,0,.0000186,-.0000337,.0000524,5980000,1.50e+07,1.42e+08,9.99e+07,1.27e+08,0,1.12e+08,2555,.508739,-.2790696,-.3379736,-.2674328,-.6871192,8542.857143,9039.096386,13557.02569,19490.45251,30020.83749,0,0,0,0,0,700,1660,10508,5127,4215,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Tool and die makers and die setters","22",0,0,0,0,0,-1.47e-07,2.37e-06,-2.52e-06,1265000,2581200,1.46e+07,1354600,1700000,0,-881200,-123,.3636903,.2100009,.3395566,.1273158,.9171736,12650,18437.14286,38929.79467,41048.48485,100000,0,0,0,0,0,100,140,375,33,17,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Retail sales clerks","61",0,0,0,0,0,.0000191,-.0000427,.0000618,7450000,1069800,2849139,3.28e+08,1.15e+08,0,1.14e+08,3014,-.684867,-.5261558,-.8902943,-.2699623,-.3271718,1460.784314,5943.333333,5779.186613,32221.22122,36104.44584,0,0,0,42,0,5100,180,493,10180,3194,0,0,.0000326,0,0,.0041257,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Furniture and wood finishers","23",0,0,0,0,0,1.28e-06,7.30e-07,5.53e-07,245000,2285400,1.03e+07,2.43e+07,9974200,0,7688800,27,-.9221994,-.5025793,-.6382291,-.3968312,1.156404,1225,8790,15278.21694,23932.87402,34753.3101,0,0,0,0,0,200,260,673,1016,287,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Helpers, constructions","56",0,0,0,0,0,1.48e-06,5.09e-06,-3.61e-06,,3199600,2943200,8579000,1.21e+07,0,8892000,-176,,-.0440582,-.1223548,.0701637,.2536639,,9410.588235,12741.12554,26478.39506,73729.26829,,0,0,0,0,,340,231,324,164,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Electrical engineer","71",0,0,0,0,0,.0000106,-8.64e-06,.0000192,885000,7501400,1.54e+08,2.55e+07,7.09e+07,0,6.34e+07,938,.1049343,.2940514,.2940026,.4165569,-.2601439,8850,22062.94118,47246.05015,56095.6044,55461.87089,0,0,0,0,0,100,340,3270,455,1278,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Bartenders","62",0,0,0,0,0,4.49e-06,-4.69e-06,9.18e-06,1310000,4875500,5215273,4159300,3.18e+07,0,2.69e+07,448,-.27336,-.3666636,-.4538093,-.353132,.2182103,6550,8125.833333,15029.60519,18162.8821,30330.53435,0,0,0,0,0,200,600,347,229,1048,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Ushers","62",0,0,0,0,0,5.44e-07,1.16e-06,-6.15e-07,,1492000,7508294,7226200,4750000,0,3258000,-30,,-.6571996,-.5074173,-.1766505,-.5813534,,6781.818182,21391.151,22031.09756,25000,,0,0,0,0,,220,351,328,190,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Operating engineers of construction equipment","92",0,0,0,0,0,.0000568,-5.49e-06,.0000623,4.17e+07,8.34e+07,1.87e+08,2.35e+08,4.24e+08,0,3.40e+08,3042,.04682,.0300957,.0424043,.0051559,.1715327,7441.071429,14795.31915,23707.30055,32576.24507,48828.3407,0,0,0,0,0,5600,5640,7889,7206,8682,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Operations and systems researchers and analysts","51",0,0,0,0,0,.000023,-1.24e-06,.0000243,1.29e+07,6.06e+07,5.19e+08,3.19e+08,1.98e+08,0,1.38e+08,1184,.3860226,.5266762,.5124722,.5188271,.0907387,11768.18182,23305.61538,40601.04405,69169.07516,52450.60677,0,0,43,158,0,1100,2600,12780,4617,3784,0,.0000387,.0001227,0,.0033646,.0342214,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000387
"Fishers, hunters, and kindred","71",0,0,0,0,0,4.47e-07,.0000295,-.0000291,,2.46e+07,9028986,3.43e+07,2.73e+07,0,2679600,-1420,,-.2639993,-.3144586,-.3284161,-1.153415,,10615.64655,17132.80076,25608.68009,30342.11111,,0,0,0,0,,2320,527,1341,900,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Nursing aides, orderlies, and attendants","71",0,0,0,0,0,7.04e-06,-.0000309,.0000379,,2720500,2.12e+07,9817330,4.49e+07,0,4.22e+07,1851,,-.569731,-.0464575,-.6572331,-.6036986,,5667.708333,17816.37563,13177.62416,19254.21278,,0,0,0,0,,480,1190,745,2331,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Fire fighting, prevention, and inspection","42",0,0,0,0,0,1.34e-06,2.08e-06,-7.38e-07,605000,5308600,1.13e+07,3.70e+07,1.33e+07,0,8037400,-36,.0529208,.1958097,.1424054,.0676541,-.0539274,6050,16589.375,26766.8361,32825.26596,46992.95775,0,0,0,0,0,100,320,421,1128,284,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Subject instructors (HS/college)","81",0,0,0,0,0,5.47e-06,2.93e-06,2.54e-06,,6892000,4372253,1.41e+08,3.97e+07,0,3.28e+07,124,,-.5514216,-1.225288,-.4464393,-.0880592,,9845.714286,8539.556641,27838.48096,48133.49515,,0,0,16,0,,700,512,5069,824,,0,.0000124,,0,.0031564,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Industrial engineers","22",0,0,0,0,0,.0000153,.0000277,-.0000124,1.91e+07,5.84e+07,1.35e+08,1.79e+08,1.50e+08,0,9.15e+07,-606,.1403837,.25745,.3906024,.364524,.1858026,10060.52632,23750.44715,47468.56615,65917.83684,80882.95577,0,0,0,0,0,1900,2460,2842,2709,1854,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Clergy and religious workers","92",0,0,0,0,0,.0000305,-.0000126,.0000432,4420000,2.46e+07,4.10e+07,1.02e+08,2.08e+08,0,1.83e+08,2108,-.0940004,-.1302262,-.4148099,-.3148819,-.0781831,8840,18914.53846,28388.34349,38651.83479,60910.26614,0,0,0,0,0,500,1300,1444,2627,3408,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Real estate sales occupations","72",0,0,0,0,0,1.04e-07,.0000158,-.0000157,,1.54e+07,4.05e+07,3.29e+07,1.60e+07,0,620200,-764,,.2974374,.4228286,.2114725,.6503807,,17456.02273,44859.98891,39542.13942,137771.5517,,0,92,0,0,,880,902,832,116,,.0000827,0,,.1019956,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000827
"Librarians","81",0,0,0,0,0,-1.09e-06,.0000268,-.0000279,8305000,1.65e+07,2.74e+07,5.67e+07,9989640,0,-6510960,-1362,-.2492686,-.5662421,-.3822397,-.4985142,-.794447,5190.625,9375.340909,20537.76819,31664.31602,25099.59799,0,0,0,0,0,1600,1760,1333,1791,398,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Data entry keyers","11",0,0,0,0,0,4.13e-06,1.60e-07,3.98e-06,1755000,5379600,2.35e+07,1.76e+07,3.01e+07,0,2.48e+07,194,-.0890134,.1019055,-.0271374,-.5170881,-.0064278,3510,7269.72973,13954.20569,15480.16021,32277.83726,0,0,0,0,0,500,740,1687,1136,934,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Machinists","11",0,0,0,0,0,7.54e-07,4.36e-06,-3.61e-06,2585000,8811500,3.19e+07,1.37e+07,1.33e+07,0,4515500,-176,.3312828,.0813516,-.1105463,.0017419,.1522768,8616.666667,14685.83333,21661.36098,31530.98624,31431.60377,0,0,0,0,0,300,600,1471,436,424,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Recreation workers","54",0,0,0,0,0,4.99e-06,-2.96e-06,7.95e-06,3460000,3532100,6724713,5.67e+07,3.34e+07,0,2.99e+07,388,-.1130606,-.1310695,.3356288,-.0596769,-.2466388,8650,14717.08333,40755.83636,49641.68827,53238.8535,0,0,31,26,0,400,240,165,1142,628,0,.0000279,.0000202,0,.1878788,.0227671,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000279
"Dietitians and nutritionists","56",0,0,0,0,0,3.91e-06,-2.24e-07,4.14e-06,,1701000,1956478,3222000,2.52e+07,0,2.34e+07,202,,.1507254,-.597096,.1553759,.5148901,,12150,14280.86131,41307.69231,73538.0117,,0,0,0,0,,140,137,78,342,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Assemblers of electrical equipment","22",0,0,0,0,0,7.76e-06,.0000302,-.0000224,3415000,3.03e+07,6.64e+07,9.35e+07,7.68e+07,0,4.65e+07,-1095,.1377518,.0754037,.1318578,-.0067027,.3609523,5691.666667,12846.31356,20556.43671,27408.62936,60699.60474,0,0,0,0,0,600,2360,3231,3413,1265,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Physicians' assistants","31-33",0,0,0,0,0,-8.13e-07,5.76e-06,-6.58e-06,,7143500,5464322,5934960,2271500,0,-4872000,-321,,.3456899,-.4678468,-.1012428,-.4864338,,18798.68421,22863.27197,29236.25616,38500,,0,0,0,0,,380,239,203,59,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Funeral directors","92",0,0,0,0,0,1.60e-06,-1.58e-06,3.18e-06,,1189200,4206534,0,1.08e+07,0,9560800,155,,.2679723,.2650555,,.1076246,,19820,50077.78571,0,50000,,0,0,0,0,,60,84,22,215,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Operating engineers of construction equipment","81",0,0,0,0,0,7.99e-06,-4.70e-06,.0000127,3035000,9106800,2.49e+07,2.68e+07,5.70e+07,0,4.78e+07,619,.129911,.2907487,.1381723,.2595875,.126055,6070,18213.6,29109.14737,38772.05797,50897.76586,0,0,0,0,0,500,500,855,690,1119,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Correspondence and order clerks","72",0,0,0,0,0,4.22e-06,.0000107,-6.52e-06,,1.17e+07,9397336,2.65e+07,3.70e+07,0,2.52e+07,-318,,-.3111176,-.2613121,-.4960315,-.2907065,,5234.508929,7633.904143,12161.21026,19237.87721,,0,0,8,0,,2240,1231,2183,1922,,0,6.21e-06,,0,.0036647,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Paper folding machine operators","62",0,0,0,0,0,2.14e-06,-6.14e-06,8.28e-06,,1264000,3067873,4040900,1.41e+07,0,1.28e+07,404,,-.8269492,.1282541,-.4923175,-.4851175,,4514.285714,12782.80417,11070.9589,20577.19298,,0,0,0,0,,280,240,365,684,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Wood lathe, routing, and planing machine operators","44-45",0,0,0,0,0,1.39e-07,-2.46e-08,1.64e-07,,613800,1624776,2.11e+07,1448400,0,834600,8,,.0549572,.122785,-.0947117,-.0214042,,10230,23547.47826,24737.75822,21300,,0,0,0,0,,60,69,852,68,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Programmers of numerically controlled machine tools","54",0,0,0,0,0,6.22e-06,.0000109,-4.65e-06,2795000,1.23e+07,1716864,3.10e+07,4.95e+07,0,3.72e+07,-227,.45389,.3622277,.3778086,.3263868,.6649001,9316.666667,17566.71429,22011.07692,55014.06028,104732.8541,0,0,0,0,0,300,700,78,564,473,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Psychologists","52",0,0,0,0,0,3.73e-06,4.08e-06,-3.48e-07,2235000,7411600,1.17e+07,2.88e+07,2.98e+07,0,2.24e+07,-17,.4606267,.4421837,-.0317268,.4048727,.4364475,22350,26470,30636.96867,81326.55367,113247.1483,0,0,0,0,0,100,280,383,354,263,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Garbage and recyclable material collectors","44-45",0,0,0,0,0,3.60e-06,-.0000357,.0000393,305000,1101700,561400,8670360,2.27e+07,0,2.16e+07,1919,-.3918001,-.9415254,-1.220414,-.5653262,-.5763773,3050,5508.5,4924.561404,15372.97872,10696.97971,0,0,0,0,0,100,200,114,564,2119,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Automobile mechanics","71",0,0,0,0,0,.0000115,.0000141,-2.60e-06,3170000,1.86e+07,4.02e+07,1.37e+08,8.77e+07,0,6.91e+07,-127,.1781814,-.1774818,.031191,.0852605,.4672865,7925,11181.74699,20531.91364,38811.75523,57202.93542,0,0,0,22,0,400,1660,1957,3538,1533,0,0,.0000171,0,0,.0062182,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Misc textile machine operators","53",0,0,0,0,0,5.29e-07,-2.63e-06,3.16e-06,,500200,4830840,5948960,3670000,0,3169800,154,,-.0273127,-.2306174,.0228807,-.7478395,,12505,17130.6383,30823.62694,18917.52577,,0,0,0,0,,40,282,193,194,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Insulation workers","54",0,0,0,0,0,.0000202,-7.85e-06,.0000281,,812400,5709503,2.98e+07,1.22e+08,0,1.21e+08,1370,,.3593999,.1565168,-.1082103,.4063636,,20310,29582.9171,32144.24569,86500.56738,,0,0,0,0,,40,193,928,1410,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Assemblers of electrical equipment","92",0,0,0,0,0,-5.37e-06,.0000865,-.0000919,1.19e+07,7.20e+07,1.28e+08,7.39e+07,3.99e+07,0,-3.22e+07,-4485,-.0648587,-.1526552,.0028281,.0043343,-.690558,6594.444444,12163.5473,21285.23436,28721.89813,27771.84669,0,0,8,0,0,1800,5920,5995,2572,1435,0,7.19e-06,0,0,.0013344,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-7.19e-06
"Data entry keyers","56",0,0,0,0,0,.0000909,-.0002312,.0003221,2.57e+07,7.91e+07,3.54e+08,7.62e+08,6.24e+08,0,5.44e+08,15721,.1447326,-.0110613,-.1235867,-.246038,-.3692899,3773.529412,7234.552102,11939.82221,17104.95835,23389.32561,0,0,0,8,0,6800,10940,29625,44543,26661,0,0,6.21e-06,0,0,.0001796,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Packers, fillers, and wrappers","52",0,0,0,0,0,9.52e-10,-6.55e-07,6.56e-07,55000,61900,4176682,1444220,67600,0,5700,32,-1.640933,-.0238924,.0942158,-.3961723,-2.473329,550,3095,14655.02456,10242.69504,1300,0,0,0,0,0,100,20,285,141,52,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Supervisors of personal service jobs, n.e.c.","62",0,0,0,0,0,.0000187,-.000016,.0000347,,1.40e+07,1.78e+08,1.78e+08,1.26e+08,0,1.12e+08,1695,,-.1909737,-.2857681,-.0038486,-.0079724,,10419.32836,12840.55601,29294.20266,41514.71236,,0,21,19,0,,1340,13838,6089,3035,,.0000189,.0000148,,.0015176,.0031204,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000189
"Machinists","62",0,0,0,0,0,-5.62e-07,.0000121,-.0000126,3460000,1.06e+07,3.70e+07,1.63e+07,7275700,0,-3367200,-616,.0120506,-.1419454,.0724759,.0296328,-.0044027,5766.666667,12094.20455,24655.63933,33026.16162,27559.4697,0,0,0,0,0,600,880,1500,495,264,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Construction laborers","44-45",0,0,0,0,0,.0000191,-.0000323,.0000514,3.73e+07,2.34e+07,8.29e+07,8.47e+07,1.38e+08,0,1.14e+08,2509,-.2358765,-.3064094,-.2815309,-.1073012,-.1264704,5742.307692,11262.88462,18756.12675,23357.58124,30043.25561,100,0,36,12,0,6500,2080,4418,3625,4589,.0001369,.0000324,9.32e-06,.0153846,.0081485,.0033103,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000324
"Carpenters","22",0,0,0,0,0,-7.51e-06,.0000909,-.0000984,2.93e+07,9.29e+07,8.14e+07,7.13e+07,4.78e+07,0,-4.50e+07,-4804,.281882,.1564395,.1636824,.1866771,.4403618,9437.096774,16347.71127,28705.0328,39002.36453,54619.86301,0,0,19,0,0,3100,5680,2835,1827,876,0,.0000171,0,0,.0067019,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000171
"Structural metal workers","54",0,0,0,0,0,.0000137,-.0000286,.0000423,,2789500,5639730,7.29e+07,8.47e+07,0,8.19e+07,2063,,-.0519593,.2805678,-.0018051,.0870304,,17434.375,37349.2053,27687.83055,38090.19343,,0,0,0,0,,160,151,2632,2223,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Batch food makers","31-33",0,0,0,0,0,.0001905,-.0004761,.0006667,,1.88e+08,4.70e+08,1.04e+09,1.33e+09,0,1.14e+09,32536,,-.0546301,-.0748418,-.0595693,-.2274794,,9988.419936,15853.88762,24203.55011,25871.06643,,0,0,87,0,,18860,29657,43015,51396,,0,.0000676,,0,.0020226,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
"Power plant operators","22",0,0,0,0,0,.0005826,.0001223,.0004603,1.55e+08,3.98e+08,1.33e+09,2.14e+09,3.89e+09,0,3.49e+09,22466,.2514997,.2890687,.4490926,.4405691,.7072217,10276.15894,19977.2239,38349.805,55986.41241,91728.68119,100,0,15,159,0,15100,19920,34570,38263,42386,.0001369,.0000135,.0001235,.0066225,.0004339,.0041555,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,-.0000135
"Operating engineers of construction equipment","44-45",0,0,0,0,0,3.60e-06,-8.51e-07,4.45e-06,6655000,9451000,3.04e+07,3.68e+07,3.10e+07,0,2.15e+07,217,-.1570028,.2103352,.1809378,.1498425,.0784311,6050,17501.85185,26878.78761,37490.92559,40938.07133,0,0,0,0,0,1100,540,1130,981,757,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,0,0
